Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_51_194.jpg;0;0.7069056;0;1.73779;103.4317;72.32608;1.266711;284.2902;-0.0006196576
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_51_262.jpg;0;0.5086663;0;1.765675;103.466;72.18882;1.261352;284.2778;-0.0005178057
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_51_329.jpg;0;0.3076496;0;1.785281;103.492;72.08498;1.241194;284.2671;-0.0004603053
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_51_395.jpg;0;0.108735;0;1.795973;103.5179;71.98122;1.193715;284.2561;-0.0004083391
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_51_462.jpg;0;0;0;1.793257;103.5522;71.84408;1.073266;284.242;-0.0002727618
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_51_529.jpg;0;0;0;1.7881;103.5776;71.7422;0.9469647;284.2319;-6.28143E-05
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_51_595.jpg;0;0;0;1.780719;103.6029;71.64102;0.7996567;284.2227;0.001340048
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_51_661.jpg;0;0;0;1.77512;103.6365;71.507;0.5837012;284.2155;0.01289374
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_51_726.jpg;0;0;0;1.769459;103.6618;71.40701;0.4158017;284.2144;0.0290524
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_51_793.jpg;0;0;0;1.761811;103.687;71.30743;0.2442031;284.2144;0.04551936
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_51_865.jpg;0;0;0;1.755984;103.7205;71.17518;0.01636802;284.2145;0.0637648
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_51_931.jpg;0;0;0;1.74811;103.7455;71.07626;359.853;284.2147;0.07454295
C:\Users\YangTianyi\Desktop\robotics\perception\IMG\robocam_2018_01_07_17_16_52_000.jpg;0;0.09987198;0;1.742069;103.7786;70.94404;359.6785;284.2054;0.06056566
